billionaireName,netWorth,humanFriendly,images,profileData
Jorge Paulo Lemann,22800000000,$22.8 billion,profile_images/35.png,"Jorge Paulo Lemann started in investment banking and later became a controlling shareholder of Anheuser-Busch InBev, the world's largest brewer."
Azim Premji,22600000000,$22.6 billion,profile_images/36.png,Indian tech magnate Azim Premji's $8.4 billion (revenue) Wipro is India's fourth-largest outsourcer.
Dieter Schwarz,22600000000,$22.6 billion,profile_images/37.png,"Dieter Schwarz's Schwarz Group, with revenue exceeding $100 billion, is comprised of the Kaufland and Lidl (rhymes with needle) store chains."
Wang Jianlin,22600000000,$22.6 billion,profile_images/38.png,"Wang Jianlin chairs Dalian Wanda Group, which has investments in real estate, finance and movie theaters."
Giovanni Ferrero,22400000000,$22.4 billion,profile_images/39.png,Giovanni Ferrero is executive chairman of his family's namesake confections business.
Elon Musk,22300000000,$22.3 billion,profile_images/40.png,"Elon Musk is working to revolutionize transportation both on Earth and in space. His automaker, Tesla Motors, which was founded in 2003, is bringing fully-electric vehicles to the mass market."
Tadashi Yanai,22200000000,$22.2 billion,profile_images/41.png,"Yanai built and runs Tokyo-listed retail clothing empire Fast Retailing, parent of the Uniqlo chain. He and his family own a 44% stake."
Yang Huiyan,22100000000,$22.1 billion,profile_images/42.png,"Yang Huiyan owns 57% of real estate developer Country Garden Holdings, a stake largely transferred to her by her father Yeung Kwok Keung in 2007."
Masayoshi Son,21600000000,$21.6 billion,profile_images/43.png,"Masayoshi Son founded and runs SoftBank, a mobile telecom and investment firm with $81 billion in 2017 revenue."
Jim Simons,21500000000,$21.5 billion,profile_images/44.png,"Jim Simons is the founder of Renaissance Technologies, an esteemed quantitative trading hedge fund firm that manages $68 billion."
Vladimir Lisin,21300000000,$21.3 billion,profile_images/45.png,"Vladimir Lisin is chairman of NLMK Group, a leading manufacturer of steel products."
Susanne Klatten,21000000000,$21 billion,profile_images/46.png,"Susanne Klatten owns 19.2% of automaker BMW; her brother, Stefan Quandt, owns 23.7%."
Vagit Alekperov,20700000000,$20.7 billion,profile_images/47.png,"A former Caspian Sea oil rig worker, Vagit Alekperov became a deputy minister overseeing the oil industry in the Soviet Union."
Alexey Mordashov,20500000000,$20.5 billion,profile_images/48.png,"Alexey Mordashov, a majority shareholder in steel company Severstal, resigned as CEO in 2015 after 19 years in the role."
Gennady Timchenko,20100000000,$20.1 billion,profile_images/49.png,Gennady Timchenko has stakes in various Russian businesses including gas company Novatek and petrochemichal producer Sibur Holding.
Leonardo Del Vecchio,19800000000,$19.8 billion,profile_images/50.png,"Vision visionary Leonardo Del Vecchio founded eyewear giant Luxottica in 1961, at the age 25."
,,,,
,,,,
,, ,,
